"Id","sales0","sales1","sales2","sales3","sales4","country","State","CouSub","countyname","storecode","Areaname","countytownname","population","state_alpha","store_Type","store"
2300919770,848,588,666,1116,1133,9,23,19770,"Hancock County","NCNTY23009N23009","Hancock County, ME","Eastbrook town",423,"ME","Supermarket Type1",0
5000129575,925,717,780,1283,1550,1,50,29575,"Addison County","NCNTY50001N50001","Addison County, VT","Granville town",298,"VT","Supermarket Type1",0
2501308470,924,616,739,1154,1314,13,25,8470,"Hampden County","METRO44140M44140","Springfield, MA HUD Metro FMR Area","Brimfield town",3609,"MA","Supermarket Type1",1
603599999,924,646,683,1292,1297,35,6,99999,"Lassen County","NCNTY06035N06035","Lassen County, CA","Lassen County",34895,"CA","Supermarket Type3",0
5002760100,1017,730,735,1208,1326,27,50,60100,"Windsor County","NCNTY50027N50027","Windsor County, VT","Rochester town",1139,"VT","Supermarket Type1",0
2500937995,1494,1071,1196,1861,2023,9,25,37995,"Essex County","METRO14460MM1120","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area","Manchester-by-the-Sea town",5136,"MA","Supermarket Type3",0
2610399999,691,476,541,861,923,103,26,99999,"Marquette County","NCNTY26103N26103","Marquette County, MI","Marquette County",67077,"MI","Supermarket Type1",0
3718399999,918,663,774,1189,1477,183,37,99999,"Wake County","METRO39580M39580","Raleigh-Cary, NC MSA","Wake County",900993,"NC","Supermarket Type3",1
1208999999,931,628,775,1228,1502,89,12,99999,"Nassau County","METRO27260M27260","Jacksonville, FL HUD Metro FMR Area","Nassau County",73314,"FL","Supermarket Type1",1
505799999,584,455,477,727,949,57,5,99999,"Hempstead County","NCNTY05057N05057","Hempstead County, AR","Hempstead County",22609,"AR","Grocery Store",0
5300399999,695,425,538,899,1231,3,53,99999,"Asotin County","METRO30300M30300","Lewiston, ID-WA MSA","Asotin County",21623,"WA","Supermarket Type1",1
2810999999,650,443,480,951,955,109,28,99999,"Pearl River County","NCNTY28109N28109","Pearl River County, MS","Pearl River County",55834,"MS","Supermarket Type1",1
3107399999,614,414,454,765,839,73,31,99999,"Gosper County","NCNTY31073N31073","Gosper County, NE","Gosper County",2044,"NE","Supermarket Type2",0
1201199999,1263,764,994,1801,2237,11,12,99999,"Broward County","METRO33100MM2680","Fort Lauderdale, FL HUD Metro FMR Area","Broward County",1748066,"FL","Supermarket Type1",1
511599999,614,456,459,838,1087,115,5,99999,"Pope County","NCNTY05115N05115","Pope County, AR","Pope County",61754,"AR","Supermarket Type3",0
2111399999,776,508,593,1105,1237,113,21,99999,"Jessamine County","METRO30460M30460","Lexington-Fayette, KY MSA","Jessamine County",48586,"KY","Supermarket Type1",1
3300545460,1048,662,794,1305,1707,5,33,45460,"Cheshire County","NCNTY33005N33005","Cheshire County, NH","Marlborough town",2063,"NH","Supermarket Type1",0
1909999999,656,390,502,833,920,99,19,99999,"Jasper County","NCNTY19099N19099","Jasper County, IA","Jasper County",36842,"IA","Supermarket Type3",0
2610799999,643,468,542,895,902,107,26,99999,"Mecosta County","NCNTY26107N26107","Mecosta County, MI","Mecosta County",42798,"MI","Supermarket Type1",0
3002799999,690,504,560,902,1222,27,30,99999,"Fergus County","NCNTY30027N30027","Fergus County, MT","Fergus County",11586,"MT","Supermarket Type1",0
1308199999,586,443,446,730,969,81,13,99999,"Crisp County","NCNTY13081N13081","Crisp County, GA","Crisp County",23439,"GA","Supermarket Type1",0
5408199999,735,554,558,915,982,81,54,99999,"Raleigh County","NCNTY54081N54081","Raleigh County, WV","Raleigh County",78859,"WV","Supermarket Type1",0
2301927645,833,571,660,1037,1205,19,23,27645,"Penobscot County","METRO12620MM0730","Bangor, ME HUD Metro FMR Area","Glenburn town",4594,"ME","Supermarket Type1",1
4903599999,901,606,727,1285,1513,35,49,99999,"Salt Lake County","METRO41620M41620","Salt Lake City, UT HUD Metro FMR Area","Salt Lake County",1029655,"UT","Supermarket Type1",1
608999999,907,702,722,1337,1490,89,6,99999,"Shasta County","METRO39820M39820","Redding, CA MSA","Shasta County",177223,"CA","Supermarket Type3",1
4207399999,656,390,526,853,877,73,42,99999,"Lawrence County","NCNTY42073N42073","Lawrence County, PA","Lawrence County",91108,"PA","Supermarket Type1",0
5507199999,643,429,482,801,964,71,55,99999,"Manitowoc County","NCNTY55071N55071","Manitowoc County, WI","Manitowoc County",81442,"WI","Supermarket Type1",1
